OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,0,1737,חיפה,אוניברסיטה,628,722308,מוסדי/ציבורי,4000,2,,,,,,,,,,,,,,,0.000000000000000,202110,3508.705272859201159,722308.466126532410271
-1,0,2442,באר שבע,שטח פתוח,0,5352078,פנאי/טבע/ספורט,9000,3,,,,,,,,,,,,,,,0.000000000000000,202110,10491.410593357893958,5352078.301794345490634
-1,15,688,נתניה,מגורים,4262,270449,מגורים,7400,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,55.463226419584366,202110,2053.575927834086997,270449.466580318170600
-1,55,2060,בענה,מגורים,8300,3494445,מגורים,483,1,0,0,1,0,1,0,0,1,2,1,0,0,1,2,15.739265427026083,202110,9521.296852751986080,3494445.166771178133786
-1,10,1330,גבע בנימין,מגורים,5525,3723859,מגורים,0,1,0,0,2,0,1,1,0,2,2,0,0,0,1,2,2.685386603311432,202110,8530.044328745843814,3723858.601092556491494
-1,13,281,יהוד,מגורים,2518,373126,מגורים,9400,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,34.840807649164766,202110,2861.198055965901403,373125.678684192243963
-1,0,1972,טמרה,מגורים,3518,1433279,מגורים,8900,1,,,,,,,,,,,,,,,0.000000000000000,202110,5334.785010254645385,1433279.416260779835284
-1,49,923,שילת כפר רות לפיד,מגורים,3468,6370932,מגורים,0,1,0,0,4,0,0,4,0,4,3,0,0,0,2,3,7.691182015156951,202110,12238.499694406425988,6370932.309680890291929
-1,8,1590,ברקן קריית נטפים רבבה,מגורים,5238,7358133,מגורים,0,1,1,3,3,0,0,7,0,7,4,0,0,0,3,4,1.087232360856921,202110,13312.333065108230585,7358132.712030995637178
-1,3,2551,חורה,מגורים,21559,8693625,מגורים,1303,1,0,1,0,1,1,0,0,1,2,0,2,0,0,2,0.345080459900284,202110,13614.480860213119740,8693624.671958809718490
-1,0,541,ראשון לציון,תעשיה,300,1079019,תעשיה/מסחר/מתקנים,8300,4,,,,,,,,,,,,,,,0.000000000000000,202110,4352.789773547453478,1079018.696128169074655
-1,24,2153,ע'ג'ר,מגורים,2607,33807338,מגורים,0,1,0,2,0,0,0,2,0,2,2,0,1,0,1,2,0.709905046789868,202110,33366.248027557085152,33807338.190545350313187
-1,10,1183,סיבוב מוצא,לא ידוע,0,598187,עתידי/לא ידוע,0,5,0,0,1,0,0,1,0,1,2,0,0,0,1,2,16.717189909377634,202110,4126.901522561203819,598186.660210782429203
-1,13,134,הרצלייה,מגורים,3697,359533,מגורים,6400,1,0,0,2,0,0,0,1,2,2,0,0,0,2,2,36.158042962950290,202110,3003.849839389931276,359532.732822973397560
-1,28,1809,קריית ביאליק,שטח פתוח,0,456783,פנאי/טבע/ספורט,9500,3,0,0,3,0,0,3,0,3,3,0,0,0,3,3,61.298208009021977,202110,3026.497169577537989,456783.336894267995376
-1,0,1016,רמת השרון,שטח פתוח,0,722648,פנאי/טבע/ספורט,2650,3,,,,,,,,,,,,,,,0.000000000000000,202110,4363.153600167668628,722647.828503006254323
-1,12,2388,באר שבע,תעשיה,0,546789,תעשיה/מסחר/מתקנים,9000,4,0,0,1,1,0,0,1,1,1,0,0,0,1,1,21.946311928003727,202110,3429.588795831971311,546788.911019161809236
-1,26,634,כפר סבא,מגורים,1838,278056,מגורים,6900,1,0,0,1,0,0,1,0,1,2,0,0,0,1,2,93.506195182017478,202110,2637.630636696458623,278056.442670871852897
-1,29,1276,ירושלים,מגורים,1863,251815,מגורים,3000,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,115.163935179005776,202110,3314.788950675925662,251814.944973212928744
-1,8,227,אור יהודה,מגורים,3330,226524,מגורים,2400,1,0,0,1,0,0,0,1,1,2,0,0,0,2,2,35.316416532770852,202110,1947.688006498367940,226523.548689506191295
-1,15,1918,נצרת,מגורים,9176,5134038,מגורים,7300,1,0,1,4,0,2,3,0,5,4,0,0,0,4,4,2.921676945374235,202110,12432.793990714806569,5134037.842119694687426
-1,0,869,טירה,מגורים,2053,696173,מגורים,2720,1,,,,,,,,,,,,,,,0.000000000000000,202110,3734.500187671895674,696173.202722210553475
-1,0,2225,אום אל-פחם,מגורים,10914,243043,מגורים,2710,1,,,,,,,,,,,,,,,0.000000000000000,202110,2295.286139501212801,243042.979365347651765
-1,5,1511,א זעים,לא ידוע,0,1230780,עתידי/לא ידוע,0,5,0,0,1,0,0,1,0,1,2,0,1,0,1,2,4.062464503176757,202110,4790.617327813786687,1230779.984930357430130
-1,8,462,באר יעקב,מגורים,5225,2611850,מגורים,2530,1,0,1,0,1,0,0,1,1,2,1,0,0,1,2,3.062963203113217,202110,7141.379699620229985,2611849.855678561609238
-1,15,1113,ירושלים,מגורים,2172,326431,מגורים,3000,1,0,0,4,0,2,2,0,4,2,0,0,0,1,2,45.951524814215446,202110,2613.698889409663479,326430.952196816739161
-1,26,64,תל אביב -יפו,מגורים,2446,268472,מגורים,5000,1,0,0,1,0,0,1,0,1,3,0,0,0,2,3,96.844509396756678,202110,2115.958455304164545,268471.595983641163912
-1,3,2460,נאות חובב,תעשיה,0,23157666,תעשיה/מסחר/מתקנים,1770,4,0,0,2,0,0,2,0,2,2,0,0,0,0,2,0.129546734572050,202110,20567.015029210069770,23157665.918097671121359
-1,19,706,נתניה,מתחם ציבורי,0,550015,מוסדי/ציבורי,7400,2,0,0,1,1,0,0,1,1,1,0,0,0,0,1,34.544527993328174,202110,2991.863896024558926,550014.752080839010887
-1,12,2078,כרמיאל,מגורים,2044,246560,מגורים,1139,1,0,0,2,2,1,1,0,2,1,0,0,0,1,1,48.669624330670018,202110,2989.273534964218925,246560.358026802947279
-1,0,1348,אל-ג'נאין,לא ידוע,0,491974,עתידי/לא ידוע,0,5,,,,,,,,,,,,,,,0.000000000000000,202110,3113.890600772934249,491974.256362105079461
-1,26,299,בת ים,מגורים,4342,734466,מגורים,6200,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,35.399888043542823,202110,4377.869778912573565,734465.599665719084442
-1,23,1990,עכו,תעשיה ומלאכה,0,1013504,תעשיה/מסחר/מתקנים,7600,4,0,0,2,0,0,2,0,2,2,0,0,0,2,2,22.693553194578890,202110,4223.319380378913593,1013503.694322064751759
